group,modalities,task_mode,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_ovr_mean,roc_auc_ovr_std
all_without_cognitive,demographic|mri_derived|genetic,all_visits,0.6501835746170064,0.03483697123868869,0.5924659511209889,0.025682083328622284,0.5460330469389866,0.026344228439870145,0.7957394988130831,0.025237334017715
all_without_genetic,demographic|cognitive|mri_derived,all_visits,0.9086229093882631,0.004626441640734206,0.8583223274664279,0.028121176525564943,0.7989597842500256,0.02124804282129899,0.9706338435812192,0.005485464218532898
all_without_mri,demographic|cognitive|genetic,all_visits,0.9054385334405384,0.00908502734505598,0.8620516408770665,0.023155200828463365,0.7982785203863296,0.024717311935742208,0.9726417473849966,0.005356905819520823
cognitive,cognitive,all_visits,0.9070471075873028,0.009209622237139148,0.8701989131585186,0.026376210654266697,0.8026343109708034,0.027038051431104614,0.9737445948859292,0.005460732795926632
demographic,demographic,all_visits,0.39258329345505255,0.02777299592416752,0.3756443892047862,0.034670517223779056,0.33542583363768463,0.014825749256778329,0.565709501631028,0.02521054459048758
demographic+cognitive,demographic|cognitive,all_visits,0.9029776671845845,0.008808005621133876,0.8535382736232728,0.031280156167958546,0.7921618811883822,0.02711969832786137,0.9727155686951608,0.005812384620310971
demographic+cognitive+mri_derived,demographic|cognitive|mri_derived,all_visits,0.9086229093882631,0.004626441640734206,0.8583223274664279,0.028121176525564943,0.7989597842500256,0.02124804282129899,0.9706338435812192,0.005485464218532898
demographic+cognitive+mri_derived+genetic,demographic|cognitive|mri_derived|genetic,all_visits,0.9072581381554983,0.006907794424917471,0.8570308037164217,0.02832143536844752,0.7974191896680372,0.025262271303963798,0.9700634016142484,0.005370570821734405
demographic+mri_derived,demographic|mri_derived,all_visits,0.6274279382423557,0.030263091214739118,0.5831576804416734,0.02408953731090515,0.5290362747324326,0.02659920095646877,0.7762067899803521,0.02049473436067983
genetic,genetic,all_visits,0.6706738770873754,0.038007520431190045,0.4728181244884918,0.025802335837198292,0.45111203141754863,0.025778155231629234,0.6582349708161466,0.025581135218167066
mri_derived,mri_derived,all_visits,0.5884009161876496,0.0275564366731175,0.6018249740942504,0.03208093871077169,0.5166710239836195,0.029921458333756378,0.7632068184165253,0.016414513362779014
