model,task_mode,missing_indicators,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_ovr_mean,roc_auc_ovr_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,train_macro_f1_mean,train_macro_f1_std,val_macro_f1_mean,val_macro_f1_std
hist_gradient_boosting,all_visits,False,0.8542193704425756,0.005463192305279622,0.8445501556124139,0.007213844020994263,0.8513703600846574,0.006576259907038581,0.9522184712420465,0.0038047472023148405,0.43134582423314444,0.022599949517817505,0.23034890422024085,0.010654998654563258,0.9972643406000226,0.0005435650800864345,0.8521746747240406,0.008090122563989026
hist_gradient_boosting,all_visits,True,0.8528459068947823,0.0049083062473560014,0.8429098533328894,0.006874709220253607,0.8498841520519311,0.006253282157876384,0.9529357304003874,0.0035846965854343586,0.4312328312656266,0.01977397082336682,0.2308914220409605,0.00803225128581093,0.9976407996809977,0.00023759942431274205,0.8490863989178088,0.007965069245729288
hist_gradient_boosting,baseline_only,False,0.9283236994219652,0.005604254170423475,0.9101013044909679,0.01166473850058813,0.9215402944334276,0.006072748803523229,0.9830767361791646,0.002609227908088718,0.3215642792358073,0.035535802399892014,0.12231973149618432,0.006734794474136149,1.0,0.0,0.9167879871646332,0.025438058456878673
hist_gradient_boosting,baseline_only,True,0.9260115606936417,0.006740984849532121,0.9076193714480011,0.01000740764027926,0.9188193654419002,0.007560676776837972,0.9829412780340459,0.0024794102431247938,0.3260852210702464,0.0307117235942499,0.12422241312133728,0.005875914679348375,1.0,0.0,0.9117381436886166,0.027373897255283584
logistic_regression,all_visits,False,0.8127412362486981,0.01050785074236001,0.8259777247381118,0.010182081407799784,0.8143419426005607,0.010552029248512831,0.9416501928851606,0.004780141229445919,0.464236589541032,0.026773538858651406,0.2683000422940227,0.012568572368346725,0.8486655023089533,0.005308634754561424,0.8332555443636265,0.006570855963784162
logistic_regression,all_visits,True,0.8113263298645659,0.014432516839392688,0.8253766845072571,0.015642888993827386,0.8130601882524667,0.015026598606430073,0.9402788002468963,0.005180973093806582,0.47373882593689814,0.02894336855866934,0.272668270145323,0.014761858885342191,0.8523326007892802,0.0029596644824528293,0.8351340659872314,0.006275857306597471
logistic_regression,baseline_only,False,0.8930635838150289,0.009498079031881471,0.8992254011431162,0.0074287906738006995,0.8884105827770125,0.009931543756338606,0.9757258815111621,0.0030079788403643464,0.27940263778961283,0.030492197485906154,0.16252963542434007,0.014178707567738837,0.9397136069771463,0.0022954707339445874,0.8872026366902466,0.026027390676662845
logistic_regression,baseline_only,True,0.8855491329479769,0.008296358436073627,0.8926224748088061,0.007746384602742376,0.8810319829662374,0.008444455542020073,0.97275950660921,0.002929214392270891,0.29922813323606523,0.02850835014876637,0.17227241204323232,0.01243363278831208,0.9402119739069862,0.0026405073852834916,0.8840531933881545,0.024030307188788375
random_forest,all_visits,False,0.8515261870699578,0.006736529222179444,0.8482258655211652,0.006646291868105494,0.8497841695844311,0.007209614843950697,0.9497849223540081,0.0024863330614373464,0.43002432070221824,0.004246515431566569,0.24430236741822067,0.0035994687192674878,0.9992172376527779,0.0002558564107849823,0.8522287626553618,0.005596768147814349
random_forest,all_visits,True,0.8504646509637876,0.010245108474111473,0.8478412948013669,0.011477634757016894,0.8488744380989534,0.011282789306865052,0.9488394322370148,0.0031455126895240408,0.45256407467580695,0.007181392549969336,0.2573598302126163,0.006461698975216361,0.9994685451540815,0.0001548085859819381,0.8504221085122591,0.007360697394400262
random_forest,baseline_only,False,0.9202312138728324,0.00744745591140185,0.9095625070837583,0.011670272733358454,0.9139312932743213,0.009369958060513587,0.9790281787248887,0.0031456342899416428,0.3365367540127571,0.010300250779144635,0.1723867341040462,0.0053924285821478814,0.9998057702330815,0.0003884595338370378,0.910838182516261,0.014433107568897827
random_forest,baseline_only,True,0.9150289017341041,0.012207348024244433,0.90377190567942,0.01179970123485327,0.9076210179878259,0.013296018066090867,0.977652860719777,0.0024034727368142635,0.38469404312326755,0.005793635379275076,0.20101005780346815,0.002783976991224502,1.0,0.0,0.9047088081631663,0.007027523535227815
