group,modalities,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_ovr_mean,roc_auc_ovr_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,train_macro_f1_mean,train_macro_f1_std,val_macro_f1_mean,val_macro_f1_std
all_primary_modalities,demographic|cognitive|mri_structural|pet|genetic,0.884971098265896,0.007624801131949689,0.8922371183540854,0.007404410466060593,0.8805279294985222,0.007899123497322016,0.9727662254234708,0.002938320311756709,0.29922728604940974,0.028458016570040528,0.1722525357898243,0.012358960423991637,0.9400660835146425,0.0025510596230082293,0.8840531933881545,0.024030307188788375
all_without_cognitive,demographic|mri_structural|pet|genetic,0.5300578034682081,0.021363836546331002,0.5758883437768171,0.02459204758522872,0.5343040271994501,0.021103279497004142,0.7265372836765077,0.013952445219712081,0.9548274055790541,0.03282708226423615,0.5939427255205327,0.010990968176976429,0.5909777673344833,0.010400296512650889,0.5110364098743841,0.03845550386123404
all_without_genetic,demographic|cognitive|mri_structural|pet,0.8832369942196532,0.0092485549132948,0.8898909775856392,0.005491194736636868,0.878378577819025,0.009574031946189158,0.9732717816994768,0.0026377857678184717,0.2966949834098333,0.02837436725977051,0.17207762057791712,0.013175196853390426,0.9399058484956047,0.0023719937937565685,0.8863449043047027,0.02358101077528674
all_without_mri_structural,demographic|cognitive|pet|genetic,0.9046242774566473,0.009843575934061495,0.9102531802701812,0.0057742706309450225,0.9006324646454441,0.010189917449721034,0.9822667252297286,0.0020115184959960653,0.24210541920867729,0.019652932063955766,0.14250670010009261,0.014119304394270334,0.9200706788824842,0.0021680446457062984,0.8887923299876658,0.01860006411350045
all_without_pet,demographic|cognitive|mri_structural|genetic,0.8861271676300578,0.00977545348282531,0.8920673240394423,0.00736667944006704,0.8815534076308807,0.00959509192221727,0.9737467712544572,0.003835891245088221,0.2928560584070332,0.03317988213344218,0.16916627432170447,0.015256518543962719,0.9387298038272224,0.0027164750945069182,0.8875710582051328,0.020311519235724735
clinical_mri,demographic|cognitive|mri_structural,0.8872832369942196,0.01170431024931597,0.8937785441729676,0.008202349707582596,0.8829802207701618,0.01214997772197388,0.9742126610197797,0.0037367652471396065,0.2911416223076059,0.033385705346973556,0.16952561087609958,0.01602832827162462,0.9381300315652487,0.002439207254955726,0.8891833011716137,0.024700857009357736
clinical_mri_genetic,demographic|cognitive|mri_structural|genetic,0.8861271676300578,0.00977545348282531,0.8920673240394423,0.00736667944006704,0.8815534076308807,0.00959509192221727,0.9737467712544572,0.003835891245088221,0.2928560584070332,0.03317988213344218,0.16916627432170447,0.015256518543962719,0.9387298038272224,0.0027164750945069182,0.8875710582051328,0.020311519235724735
cognitive_only,cognitive,0.9,0.010752066611409377,0.9082067431982427,0.012578667225174804,0.8975606145446798,0.01152317404943586,0.9843422229946212,0.001786235829775885,0.23670955332182028,0.01703826261953439,0.14166784706566288,0.01238130146803959,0.910294060553203,0.0040369908818391415,0.8935502701922797,0.018591373987142654
demographic_cognitive,demographic|cognitive,0.9086705202312139,0.016102182979403603,0.9162713254858783,0.014485039914390306,0.9053907500528424,0.016590674648758314,0.9835774145254952,0.001619657532383818,0.235966759425447,0.020254319743924727,0.13950659382476796,0.015317981987909164,0.9189835503522102,0.001982202938955568,0.8950813936568535,0.02386166918961101
demographic_only,demographic,0.392485549132948,0.04109334702237277,0.4103086629642223,0.04503345037860042,0.3854994592725631,0.04076186092800937,0.5876976249899644,0.02072830318532083,1.0794731463145346,0.016439331031950184,0.6569231993306238,0.012660482680451364,0.41754934003582334,0.012782083637990622,0.36598011790794455,0.02213012039466339
genetic_only,genetic,0.3439306358381503,0.012261967303812963,0.45007723320542087,0.015159992673808752,0.30010035657643314,0.010141745753550268,0.6018971002639193,0.016515000295261748,1.0638819189883495,0.013053385791633402,0.6500212778121799,0.00839939807661017,0.30574177745777376,0.0022336945951494684,0.3083608057842314,0.020700311828977313
mri_structural_only,mri_structural,0.4398843930635838,0.014206018182016769,0.4878617574197309,0.01519599689695531,0.44481027139861523,0.013610524965072085,0.644469016260066,0.015585411799833188,1.0372061847945802,0.02153907309557952,0.6432112011348583,0.010551932536679572,0.4977425361315563,0.011935234164078216,0.45507823343106,0.030551866801630707
pet_only,pet,0.4294797687861271,0.026017982508501503,0.5126148648283977,0.018803929071236822,0.43270685313221247,0.027302634498161924,0.6821703282729231,0.004334670847966658,0.9623979618250649,0.01454156079962919,0.6096705515205347,0.00712182801397986,0.4448754076418006,0.0017134016273865284,0.41862561929720615,0.02824500138665576
